"","originating.agency","incident.number","incident.date","date.agency.went.NIBRS","city","current.population","UCR.county","FIPS.county","incident.hour","UCR.code","completed","multiple.victims","multiple.offenders","type","primary.incident","victim.age","victim.sex","victim.race","victim.ethnicity","victim.residency","offender.age","offender.sex","offender.race","target.harm","target.arrest","victimage.group","offenderage.group","population.group","relationship.group","hour.group","same.race","state.name","division.name","region.name","location.name","loc.group","weapon.name","injury.name","Victim.in.relation","FIPS"
"2161","TNMPD0000","BQ093TJ9W0MF",20100519,20000801,"MEMPHIS                       ",673650,79,157,14,100,1,1,1,"SingleVO",1,2,"female","black","not.hispanic","resident",27,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2162","KS0440400","2W1M0UXPSD1A",20110607,20000101,"MCLOUTH                       ",886,44,87,10,100,1,3,1,"MultVic",0,10,"female","white","not.hispanic","resident",46,"male","white",0,NA,"6-10","40-50","Pop <25K","Parent","Morning",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15087"
"2163","NB0770100","F30GJOKOZM7-",20110105,19980101,"BELLEVUE                      ",50584,77,153,16,100,1,1,1,"SingleVO",1,2,"male","white","not.hispanic","resident",28,"male","black",0,NA,"0-5","20-30","Pop 25-100K","Parent","Afternoon",1,"NE","West North Central","Northcentral","Other/unknown","Unknown","None/Other","None","Child","26153"
"2164","TNMPD0000","BQ093TW3GOMF",20100527,20000801,"MEMPHIS                       ",673650,79,157,13,100,1,1,1,"SingleVO",1,7,"male","black","not.hispanic","resident",28,"male","black",0,NA,"6-10","20-30","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2165","MI7371700","F21N7W OZKQS",20100101,20000101,"SAGINAW                       ",54155,73,145,11,100,1,1,2,"MultOff",0,3,"male","white","hispanic","resident",28,"male","black",0,NA,"0-5","20-30","Pop 25-100K","Parent","Morning",1,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21145"
"2166","TNMPD0000","BW0M39L79OMF",20120307,20000801,"MEMPHIS                       ",657436,79,157,15,100,1,1,1,"SingleVO",1,1,"male","black","not.hispanic","resident",25,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2167","TN0790400","BW0939G1K MV",20120521,19991001,"MILLINGTON                    ",10342,79,157,21,100,1,1,1,"SingleVO",1,4,"female","black","not.hispanic","resident",34,"female","black",0,NA,"0-5","30-40","Pop <25K","Parent","Night",0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41157"
"2168","VA1160000","VX1T6BIERU72",20121117,19980701,"NEWPORT NEWS                  ",181591,NA,NA,12,100,1,1,1,"SingleVO",1,1,"female","black","not.hispanic","resident",25,"female","black",0,NA,"0-5","20-30","Pop 100-500K","Parent","Morning",0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","45 NA"
"2169","OH0770100","8I040BRL72 N",20100621,19980601,"AKRON                         ",205760,77,153,23,100,1,1,2,"MultOff",1,2,"male","black",NA,NA,18,"male","black",0,0,"0-5","<20","Pop 100-500K","Parent","Night",0,"OH","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","34153"
"2170","IL1010400"," A-BFWS1FX I",20101003,19910101,"ROCKFORD                      ",156180,101,201,14,100,1,1,1,"SingleVO",1,5,"male","white","not.hispanic","resident",33,"male",NA,0,NA,"0-5","30-40","Pop 100-500K","Parent","Afternoon",NA,"IL","East North Central","Northcentral","School/College","School","Personal Weapons (hands, feet, teeth, etc.)","None","Child","12201"
"2171","MA0130300","SP-30FLFRVSC",20120105,19950101,"CHELSEA                       ",35966,13,25,20,100,1,2,1,"MultVic",1,7,"female","white","not.hispanic","resident",33,"female","white",0,NA,"6-10","30-40","Pop 25-100K","Parent","Night",0,"MA","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","20025"
"2172","MI8281700","1A1M0U728GBX",20110104,19990701,"WESTLAND                      ",84031,82,163,12,100,1,3,1,"MultVic",1,12,"female","black",NA,"resident",30,"female",NA,0,NA,"11-15","20-30","Pop 25-100K","Parent","Morning",NA,"MI","East North Central","Northcentral","Residence/Home","Home",NA,"None","Child","21163"
"2173","TN0820000","2W1J0-W2JNXA",20120115,19990201,"SULLIVAN                      ",82800,82,163,8,100,1,2,1,"MultVic",0,10,"male","white","not.hispanic","resident",42,"female","white",0,NA,"6-10","40-50","Pop 25-100K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41163"
"2174","MI8281700","1W1M0U728NTX",20101224,19990701,"WESTLAND                      ",75726,82,163,23,100,1,1,1,"SingleVO",1,9,"male","white",NA,"resident",34,"female","white",0,NA,"6-10","30-40","Pop 25-100K","Parent","Night",0,"MI","East North Central","Northcentral","Government/Public Building","Other",NA,"None","Child","21163"
"2175","SC0320500","1W24707CTD1A",20101017,19910101,"WEST COLUMBIA                 ",14145,32,63,19,100,1,3,1,"MultVic",0,3,"male","white","hispanic","resident",31,"male","white",1,0.4,"0-5","30-40","Pop <25K","Parent","Night",0,"SC","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","39063"
"2176","VA1200000","2W1H0-7Z7Y1A",20100713,20000101,"PORTSMOUTH                    ",99576,NA,NA,9,100,1,2,1,"MultVic",1,10,"male","black","not.hispanic","resident",45,"female","black",0,NA,"6-10","40-50","Pop 25-100K","Parent","Morning",0,"VA","South Atlantic","South","School/College","School","None/Other","None","Child","45 NA"
"2177","TN0330100","7X-I9B06MU72",20100628,20000301,"CHATTANOOGA                   ",172460,33,65,12,100,1,2,1,"MultVic",0,2,"male","black","not.hispanic","resident",23,"female","white",0,NA,"0-5","20-30","Pop 100-500K","Parent","Morning",1,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41065"
"2178","MI8118100","180M4U7ZI70N",20120523,19950101,"WASHTENAW                     ",152545,81,161,21,100,1,1,1,"SingleVO",1,3,"male","black",NA,"resident",29,"female","black",0,NA,"0-5","20-30","Pop 100-500K","Parent","Night",0,"MI","East North Central","Northcentral","Air/Bus/Train Terminal","Road/transit","None/Other","None","Child","21161"
"2179","WI0560000","MB2JW2OZRZ2L",20120411,20080101,"ST. CROIX                     ",54197,55,109,NA,100,1,1,2,"MultOff",1,13,"female","white",NA,"resident",46,"male","white",0,0,"11-15","40-50","Pop 25-100K","Parent",NA,0,"WI","East North Central","Northcentral","Residence/Home","Home","None/Other","Apparent Minor Injury","Child","48109"
"2180","MI8234900","181J0BFO87J ",20120617,20050101,"DETROIT                       ",707096,82,163,20,100,0,1,1,"SingleVO",1,6,"male","black",NA,"resident",35,"male","black",0,NA,"6-10","30-40","Pop >500K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"2181","TNMPD0000","BQ0M3933WJMF",20100317,20000801,"MEMPHIS                       ",673650,79,157,16,100,1,2,1,"MultVic",1,3,"male","black","not.hispanic","resident",29,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2182","UT0180300","F3-G2RY7R-F3",20110814,19990301,"SALT LAKE CITY                ",190038,18,35,20,100,1,1,1,"SingleVO",1,13,"male","black",NA,NA,31,"female","black",0,NA,"11-15","30-40","Pop 100-500K","Parent","Night",0,"UT","Mountain","West","Residence/Home","Home","None/Other","None","Child","43035"
"2183","KS0520100","W51B4SC9G0W5",20110726,20000101,"LEAVENWORTH                   ",35475,52,103,18,100,1,1,2,"MultOff",1,14,"female","white","hispanic","resident",34,"male","black",0,NA,"11-15","30-40","Pop 25-100K","Parent","Afternoon",1,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15103"
"2184","MI0300300"," A0NE-F3Z21N",20101129,19950101,"SP: ALLEGAN COUNTY            ",0,3,5,NA,100,1,1,1,"SingleVO",1,12,"male","white",NA,NA,44,"female","white",0,NA,"11-15","40-50",NA,"Parent",NA,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21005"
"2185","TNMPD0000","BR0539209JMF",20110711,20000801,"MEMPHIS                       ",652725,79,157,18,100,1,1,1,"SingleVO",1,6,"female","black","not.hispanic","resident",31,"male","black",0,NA,"6-10","30-40","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","School/College","School","None/Other","None","Child","41157"
"2186","VA0020300","2W1H0BH ID1A",20100802,19970501,"ALBEMARLE COUNTY POL DEP      ",96354,2,3,19,100,1,1,1,"SingleVO",1,7,"male","white","not.hispanic","resident",51,"female","white",0,0.1,"6-10",">50","Pop 25-100K","Parent","Night",0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","45003"
"2187","TN0570100","0A1M0UFOJ21A",20110124,19990701,"JACKSON                       ",65799,57,113,17,100,1,1,1,"SingleVO",1,2,"female","black","not.hispanic","resident",28,"female","black",0,NA,"0-5","20-30","Pop 25-100K","Parent","Afternoon",0,"TN","East South Central","South","Parking Lot/Garage","Shopping","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41113"
"2188","MI8234900","1A1M027O86JX",20110420,20050101,"DETROIT                       ",713240,82,163,19,100,1,1,1,"SingleVO",1,2,"male","black",NA,"resident",18,"female","black",0,NA,"0-5","<20","Pop >500K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"2189","WV0200500","8TC5KVBL7 8N",20121122,19990101,"ST. ALBANS                    ",11001,20,39,17,100,1,1,2,"MultOff",0,1,"male","white","not.hispanic","non-resident",21,"male","white",0,NA,"0-5","20-30","Pop <25K","Parent","Afternoon",0,"WV","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","47039"
"2190","OR0270300","8N0BAVBV72 N",20110628,20031201,"MONMOUTH                      ",9635,27,53,17,100,1,1,3,"MultOff",0,13,"female",NA,"not.hispanic","non-resident",62,"female","white",0,33.3,"11-15",">50","Pop <25K","Parent","Afternoon",NA,"OR","Pacific","West","Residence/Home","Home",NA,"None","Child","36053"
"2191","WVWSP6000","JG2458ZOR39G",20120129,19980301,"SP: WILLIAMSON                ",0,30,59,22,100,1,1,2,"MultOff",0,15,"male","white","not.hispanic","resident",32,"female","white",0,29,"11-15","30-40",NA,"Parent","Night",0,"WV","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","47059"
"2192","MI2539800","181J0U7262JN",20120227,20000101,"FLINT                         ",101632,25,49,18,100,1,3,1,"MultVic",1,2,"female","white",NA,"resident",22,"female","white",0,NA,"0-5","20-30","Pop 100-500K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21049"
"2193","KS0500100","FZ9N7AEMQ-F3",20120518,20000101,"PARSONS                       ",10507,50,99,0,100,1,2,1,"MultVic",0,12,"female","white","not.hispanic","non-resident",36,"male","white",0,NA,"11-15","30-40","Pop <25K","Parent","Night",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15099"
"2194","WA0030200","721D6G0HPU72",20110829,20110101,"RICHLAND                      ",48812,3,5,16,100,1,1,1,"SingleVO",1,8,"female","black","not.hispanic","resident",38,"male","black",0,NA,"6-10","30-40","Pop 25-100K","Parent","Afternoon",0,"WA","Pacific","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","46005"
"2195","ND0090200","2W1M0U7296KO",20110121,19910101,"FARGO                         ",107329,9,17,17,100,1,2,1,"MultVic",0,2,"male","white",NA,"non-resident",36,"female","white",0,NA,"0-5","30-40","Pop 100-500K","Parent","Afternoon",0,"ND","West North Central","Northcentral","Other/unknown","Unknown","Personal Weapons (hands, feet, teeth, etc.)","None","Child","33017"
"2196","KS0230100","19-BW1F10U5X",20121207,20000101,"LAWRENCE                      ",89180,23,45,22,100,1,2,1,"MultVic",0,0.5,"female","white","not.hispanic","resident",22,"male","white",0,NA,"0-5","20-30","Pop 25-100K","Parent","Night",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15045"
"2197","MI5036000","1A1M0U729N0O",20110226,20000101,"EASTPOINTE                    ",32418,50,99,21,100,1,2,1,"MultVic",1,14,"female","black",NA,"resident",37,"female","white",0,NA,"11-15","30-40","Pop 25-100K","Parent","Night",1,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21099"
"2198","MI4620200","390JW5OZX 2C",20110722,19980101,"ADRIAN                        ",21117,46,91,10,100,1,1,1,"SingleVO",1,1,"male","black",NA,"resident",20,"female","white",0,0,"0-5","<20","Pop <25K","Parent","Morning",1,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21091"
"2199","TN0940000","5F1T-4A5BRVS",20110116,19990101,"WILLIAMSON                    ",48473,94,187,18,100,1,1,1,"SingleVO",1,11,"female","white","not.hispanic","non-resident",31,"male","white",0,NA,"11-15","30-40","Pop 25-100K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41187"
"2200","SC0420000","8I0DKVRV72 N",20100720,19910101,"SPARTANBURG                   ",215062,42,83,16,100,1,1,1,"SingleVO",1,7,"female","white","not.hispanic","resident",28,"male","white",0,NA,"6-10","20-30","Pop 100-500K","Parent","Afternoon",0,"SC","South Atlantic","South","Residence/Home","Home",NA,"None","Child","39083"
"2201","WIMPD0000","CU1935HQUSCT",20120710,20050101,"MILWAUKEE                     ",599395,40,79,18,100,1,1,1,"SingleVO",1,0.5,"male","black","not.hispanic","resident",35,"male","black",0,NA,"0-5","30-40","Pop >500K","Parent","Afternoon",0,"WI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","48079"
"2202","MI2583900","961 8JKL6XFT",20120109,19970101,"BURTON                        ",29758,25,49,NA,100,1,3,1,"MultVic",0,8,"female","white",NA,"resident",34,"male","white",0,NA,"6-10","30-40","Pop 25-100K","Parent",NA,0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21049"
"2203","MI8234900","181J0OOP86K ",20120730,20050101,"DETROIT                       ",707096,82,163,17,100,0,1,1,"SingleVO",1,5,"female","black",NA,"resident",24,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"2204","TNMPD0000","181H0UFU96HH",20121004,20000801,"MEMPHIS                       ",657436,79,157,0,100,1,1,1,"SingleVO",1,0.5,"male","black","not.hispanic","resident",28,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Night",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2205","DE303SP00","021H0-RO771A",20100409,20010101,"SP: SUSSEX COUNTY             ",153107,3,5,19,100,1,1,1,"SingleVO",1,1,"female","white","not.hispanic","resident",18,"female","white",0,0,"0-5","<20","Pop 100-500K","Parent","Night",0,"DE","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","07005"
"2206","VA0890000","2W1J0-7OIN1A",20121222,19970101,"STAFFORD                      ",133590,90,179,22,100,1,2,1,"MultVic",0,8,"female","black","not.hispanic","resident",30,"female","white",0,NA,"6-10","20-30","Pop 100-500K","Parent","Night",1,"VA","South Atlantic","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Child","45179"
"2207","CO0010000","F3C 0WKOZ7 C",20110117,19970101,"ADAMS                         ",91819,1,1,10,100,1,3,3,"MultVO",0,1,"male","white",NA,NA,19,"male","white",1,NA,"0-5","<20","Pop 25-100K","Parent","Morning",0,"CO","Mountain","West","Residence/Home","Home","None/Other","Apparent Minor Injury","Child","05001"
"2208","MI2542200","W51P4VS NXIS",20110719,19961201,"GENESEE TOWNSHIP              ",21565,25,49,22,100,1,1,1,"SingleVO",1,2,"male","white",NA,"resident",25,"male","white",0,NA,"0-5","20-30","Pop <25K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21049"
"2209","TN0750100","WK-ZL7146MW5",20100703,19980101,"MURFREESBORO                  ",109199,75,149,0,100,1,2,1,"MultVic",1,9,"female","black","not.hispanic","resident",34,"female","black",0,NA,"6-10","30-40","Pop 100-500K","Parent","Night",0,"TN","East South Central","South","Other/unknown","Unknown","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41149"
"2210","MI3803800","7S0NXBRVEC6F",20120823,19980101,"SP: JACKSON COUNTY            ",0,38,75,NA,100,1,1,1,"SingleVO",1,14,"female","white",NA,NA,39,"female","white",0,NA,"11-15","30-40",NA,"Parent",NA,0,"MI","East North Central","Northcentral","Other/unknown","Unknown",NA,"None","Child","21075"
"2211","TNMPD0000","BR0M3UG1KPMF",20110326,20000801,"MEMPHIS                       ",652725,79,157,10,100,1,1,1,"SingleVO",1,12,"male","black","not.hispanic","non-resident",45,"male","black",0,NA,"11-15","40-50","Pop >500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2212","SC0320500","1W24707CTD1A",20101017,19910101,"WEST COLUMBIA                 ",14145,32,63,19,100,1,3,1,"MultVic",1,5,"female","white","hispanic","resident",31,"male","white",1,0.4,"0-5","30-40","Pop <25K","Parent","Night",0,"SC","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","39063"
"2213","TN0570100","0A1J0UR3LN1A",20120227,19990701,"JACKSON                       ",65725,57,113,21,100,1,1,1,"SingleVO",1,15,"female","white","not.hispanic","resident",35,"female","white",0,NA,"11-15","30-40","Pop 25-100K","Parent","Night",0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41113"
"2214","DE303SP00","0H1J06FOU61A",20120809,20010101,"SP: SUSSEX COUNTY             ",153705,3,5,9,100,1,3,2,"MultVO",1,4,"male","white","not.hispanic","non-resident",27,"male","white",1,1.9,"0-5","20-30","Pop 100-500K","Parent","Morning",0,"DE","South Atlantic","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Child","07005"
"2215","NH0063400","8N04YMTD72 N",20111216,20080101,"MANCHESTER                    ",109708,6,11,15,100,1,2,1,"MultVic",0,11,"female","white",NA,NA,39,"male","black",0,NA,"11-15","30-40","Pop 100-500K","Parent","Afternoon",1,"NH","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","28011"
"2216","VA1270000","2W1J0UF3IX2A",20120620,19970401,"SUFFOLK                       ",85866,NA,NA,16,100,1,3,1,"MultVic",0,3,"male","white","not.hispanic","resident",23,"female","white",0,0.1,"0-5","20-30","Pop 25-100K","Parent","Afternoon",0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","45 NA"
"2217","MI8234900","1A1M0O73868X",20110731,20050101,"DETROIT                       ",713240,82,163,15,100,1,3,1,"MultVic",1,5,"female","black",NA,"resident",43,"female","black",0,NA,"0-5","40-50","Pop >500K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"2218","MI7047400","CT00W8JYU73J",20110726,19950101,"HOLLAND                       ",26015,70,139,14,100,1,2,1,"MultVic",1,11,"male","white",NA,"resident",41,"female","white",0,NA,"11-15","40-50","Pop 25-100K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21139"
"2219","VA1030000","8N0BAVQC12 N",20110404,19990101,"CHESAPEAKE                    ",224864,NA,NA,9,100,1,2,1,"MultVic",1,4,"male","white","not.hispanic","resident",39,"male","white",0,NA,"0-5","30-40","Pop 100-500K","Parent","Morning",0,"VA","South Atlantic","South","Residence/Home","Home",NA,"None","Child","45 NA"
"2220","CO0620200","8I0BKY3RQ2 N",20100904,20050101,"GREELEY                       ",92804,62,123,11,100,1,1,2,"MultOff",0,2,"male","white","not.hispanic","resident",23,"female","white",0,1.9,"0-5","20-30","Pop 25-100K","Parent","Morning",0,"CO","Mountain","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","05123"
"2221","MI8270900","FZ0NJWIO4V7C",20120901,19950101,"ROMULUS                       ",23762,82,163,19,100,1,1,1,"SingleVO",1,7,"male","black",NA,"non-resident",41,"female","black",0,NA,"6-10","40-50","Pop <25K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"2222","MI2539800","1W1H0U72ILJ8",20100109,20000101,"FLINT                         ",109245,25,49,22,100,1,1,1,"SingleVO",1,5,"female","black",NA,"resident",29,"male","black",0,NA,"0-5","20-30","Pop 100-500K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21049"
"2223","TN0840000","8T0DRMZD1A N",20120630,19991101,"TIPTON                        ",33772,84,167,21,100,1,1,1,"SingleVO",1,15,"female","black","not.hispanic","resident",31,"female","black",0,NA,"11-15","30-40","Pop 25-100K","Parent","Night",0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41167"
"2224","KS0230100","19-BW1F1NG2X",20121027,20000101,"LAWRENCE                      ",89180,23,45,20,100,1,1,1,"SingleVO",1,12,"male","white","not.hispanic","non-resident",36,"female","white",0,NA,"11-15","30-40","Pop 25-100K","Parent","Night",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15045"
"2225","TNMPD0000","BW0Q39G6H5MF",20120902,20000801,"MEMPHIS                       ",657436,79,157,10,100,1,1,1,"SingleVO",1,0.5,"female","black","not.hispanic","resident",22,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41157"
"2226","TN0790000","ZL031AEAJ-S0",20110821,20000801,"SHELBY                        ",134355,79,157,7,100,1,1,1,"SingleVO",1,15,"female","black","not.hispanic","resident",37,"male","black",0,NA,"11-15","30-40","Pop 100-500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2227","KS0871500","8N0BRV3-G2 N",20110708,20000101,"MAIZE                         ",3442,87,173,20,100,1,1,1,"SingleVO",1,11,"female","white","not.hispanic","resident",31,"female","white",0,NA,"11-15","30-40","Pop <25K","Parent","Night",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15173"
"2228","MI8269300","9N04KHZL Z8D",20100725,19970101,"REDFORD TOWNSHIP              ",43827,82,163,18,100,1,1,1,"SingleVO",1,3,"male","black",NA,NA,25,"male","black",0,NA,"0-5","20-30","Pop 25-100K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"2229","MI8269300","720IY4KVM-60",20110424,19970101,"REDFORD TOWNSHIP              ",48326,82,163,13,100,1,1,1,"SingleVO",1,2,"female","white",NA,"resident",28,"male","white",0,NA,"0-5","20-30","Pop 25-100K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21163"
"2230","VA0210100","2W1M06OU86JD",20110429,19990101,"CHESTERFIELD COUNTY PD        ",320014,21,41,14,100,1,2,1,"MultVic",1,7,"male","black","not.hispanic","resident",30,"female","black",0,0.9,"6-10","20-30","Pop 100-500K","Parent","Afternoon",0,"VA","South Atlantic","South","School/College","School","Personal Weapons (hands, feet, teeth, etc.)","None","Child","45041"
"2231","MA0112300","HP-SVAZOX5HP",20110709,20000301,"STOUGHTON                     ",27126,11,21,9,100,1,1,1,"SingleVO",1,3,"male","black",NA,"non-resident",44,"male","black",0,NA,"0-5","40-50","Pop 25-100K","Parent","Morning",0,"MA","New England","Northeast","Residence/Home","Home","None/Other","None","Child","20021"
"2232","KS0500100","F377JAEMQ-F3",20110606,20000101,"PARSONS                       ",10567,50,99,0,100,1,1,2,"MultOff",1,10,"male","black","not.hispanic","resident",29,"female","white",0,0,"6-10","20-30","Pop <25K","Parent","Night",1,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Child","15099"
"2233","MI4114100","F30NJ4KYKU71",20110603,19960101,"KENT                          ",226320,41,81,12,100,1,1,1,"SingleVO",1,15,"female","white",NA,NA,36,"female","white",0,NA,"11-15","30-40","Pop 100-500K","Parent","Morning",0,"MI","East North Central","Northcentral","Residence/Home","Home",NA,"None","Child","21081"
"2234","TNMPD0000","BW093TJ9GEMF",20110519,20000801,"MEMPHIS                       ",652725,79,157,12,100,1,1,1,"SingleVO",1,9,"male","black","not.hispanic","resident",26,"female","black",0,NA,"6-10","20-30","Pop >500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2235","TN0630100","XS0ND6RWER62",20120419,19971201,"CLARKSVILLE                   ",137356,63,125,12,100,1,1,1,"SingleVO",1,7,"male","asian","not.hispanic","resident",32,"male","black",0,NA,"6-10","30-40","Pop 100-500K","Parent","Morning",1,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41125"
"2236","TNMPD0000","BQ0939W8W8MF",20100511,20000801,"MEMPHIS                       ",673650,79,157,14,100,1,1,2,"MultOff",1,8,"male","black","not.hispanic","resident",31,"female","black",0,NA,"6-10","30-40","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","School/College","School","None/Other","None","Child","41157"
"2237","KS0850100","2W1H0U7287X8",20100105,20000101,"SALINA                        ",46547,85,169,19,100,1,1,1,"SingleVO",1,15,"female","white","not.hispanic","resident",41,"female","white",0,NA,"11-15","40-50","Pop 25-100K","Parent","Night",0,"KS","West North Central","Northcentral","School/College","School","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15169"
"2238","VT0140200","72SLY16F3U72",20110831,19980101,"SPRINGFIELD                   ",9383,14,27,12,100,1,1,1,"SingleVO",1,10,"male","white","not.hispanic","resident",36,"female","white",0,NA,"6-10","30-40","Pop <25K","Parent","Morning",0,"VT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Child","44027"
"2239","TN0330100","1W-HQOR08D1A",20100302,20000301,"CHATTANOOGA                   ",172460,33,65,13,100,1,1,1,"SingleVO",1,7,"female","white","not.hispanic","resident",41,"female","white",0,NA,"6-10","40-50","Pop 100-500K","Parent","Afternoon",0,"TN","East South Central","South","Other/unknown","Unknown","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41065"
"2240","TNMPD0000","BQ0H3TD3XNMF",20100223,20000801,"MEMPHIS                       ",673650,79,157,7,100,1,2,1,"MultVic",0,8,"female","black","not.hispanic","resident",33,"female","black",0,NA,"6-10","30-40","Pop >500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"2241","OK0610200","5F1U-1HGHRVS",20120515,20101101,"MCALESTER                     ",18419,61,121,13,100,1,1,1,"SingleVO",1,2,"female","black",NA,"non-resident",24,"male","black",0,NA,"0-5","20-30","Pop <25K","Parent","Afternoon",0,"OK","West South Central","South","Residence/Home","Home",NA,"None","Child","35121"
