"","current.population","hour.group","victim.age","victim.sex","victim.race","victim.residency","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","location.group","same.race","target.harm"
"649",2248,"Morning",4,"male","white","resident",46,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"650",673650,"Night",3,"male","white","non-resident",33,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"651",899447,"Early",9,"female","black","resident",31,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"652",89399,"Morning",10,"male","black","resident",32,"female","black","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"653",60386,"Morning",2,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"654",28432,"Night",2,"female","white","resident",22,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"655",707096,"Afternoon",7,"male","black","resident",38,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"656",899447,"Afternoon",4,"male","white","resident",28,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"657",20010,"Afternoon",10,"female","white","resident",47,"male","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"658",88200,"Afternoon",6,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"659",673650,"Afternoon",0.5,"male","black","resident",18,"male","black","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,"0"
"660",0,"Afternoon",8,"female","white","resident",45,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"661",10092,"Morning",10,"female","black","resident",36,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,"0"
"662",26827,"Night",13,"female","white","non-resident",50,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"663",134408,"Night",0.5,"female","white","resident",49,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"664",20882,"Night",8,"female","white","resident",27,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"665",8593,"Night",1,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"666",1055204,"Afternoon",3,"female","white","resident",30,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,"0"
"667",3333,"Afternoon",8,"male","white","non-resident",31,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"668",652725,"Night",5,"female","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"669",154518,"Afternoon",7,"female","white","resident",35,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"670",1778,"Morning",11,"female","white","resident",38,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"671",384796,"Early",13,"male","white","resident",35,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"672",98510,"Afternoon",9,"male","white","resident",34,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"673",376880,"Morning",4,"female","asian","resident",38,"female","asian","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"674",40981,"Morning",6,"male","white","resident",28,"male","white","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,"0"
"675",89180,"Afternoon",3,"male","black","non-resident",32,"female","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"676",89180,"Night",6,"male","white","resident",25,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"677",89180,"Afternoon",5,"female","black","resident",35,"female","black","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"678",899447,"Night",4,"female","black","resident",38,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"679",82800,"Afternoon",10,"female","white","resident",34,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,"0"
"680",652725,"Morning",10,"male","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"681",657436,"Afternoon",6,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"682",652725,"Afternoon",6,"male","black","non-resident",23,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"683",27827,"Afternoon",9,"male","white","resident",38,"female","white","Single Victim","Single Offender","Parent","Mountain","School/Center",0,"0"
"684",10920,"Morning",12,"male","white","resident",33,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,"0"
"685",153705,"Afternoon",5,"female","white","resident",39,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"686",407235,"Afternoon",1,"female","white","resident",21,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",1,"0"
"687",376880,"Morning",6,"male","black","resident",46,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"688",673650,"Morning",11,"male","black","resident",33,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"689",713240,"Afternoon",1,"male","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"690",61181,"Morning",7,"male","black","resident",40,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"691",607051,"Afternoon",12,"female","white","resident",39,"male","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"692",707096,"Afternoon",1,"male","black","non-resident",25,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"693",20005,"Night",3,"male","white","resident",28,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"694",25129,"Night",1,"male","black","non-resident",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"695",18839,"Afternoon",0.5,"female","white","resident",21,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"696",6482,"Night",7,"female","white","non-resident",26,"female","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,"0"
"697",673650,"Afternoon",12,"female","black","resident",39,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"698",899447,"Afternoon",13,"male","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"699",172460,"Night",0.5,"male","white","resident",26,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"700",93945,"Afternoon",1,"female","black","resident",27,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"701",20820,"Morning",3,"male","white","non-resident",29,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"702",673650,"Morning",0.5,"male","black","resident",20,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"703",899447,"Afternoon",13,"female","black","resident",33,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"704",899447,"Afternoon",12,"female","black","resident",42,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"705",54993,"Morning",6,"female","white","resident",26,"female","white","Multiple Victims","Single Offender","Parent","Pacific","Other",0,"0"
"706",19817,"Afternoon",0.5,"female","white","resident",24,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"707",93945,"Morning",3,"female","white","resident",23,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"708",6896,"Morning",4,"male","black","resident",23,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"709",713240,"Afternoon",1,"male","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"710",40921,"Afternoon",1,"female","white","resident",59,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"711",652725,"Afternoon",2,"male","black","resident",21,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"712",1055204,"Night",4,"male","white","resident",29,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"713",0,"Afternoon",1,"male","white","resident",23,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"714",652725,"Afternoon",1,"male","black","resident",22,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"715",40743,"Afternoon",0.5,"female","white","resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"716",295159,"Night",15,"male","white","resident",35,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"717",9703,"Afternoon",6,"male","white","resident",25,"female","white","Single Victim","Single Offender","Parent","Mountain","School/Center",0,"0"
"718",103065,"Night",8,"male","asian","non-resident",38,"male","asian","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"719",673650,"Afternoon",7,"male","black","resident",28,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"720",48473,"Afternoon",11,"female","white","non-resident",31,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"721",83299,"Afternoon",7,"male","black","resident",33,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",1,"0"
"722",54377,"Afternoon",10,"male","white","resident",34,"male","white","Single Victim","Single Offender","Parent","Pacific","Other",0,"0"
"723",328120,"Afternoon",4,"male","white","resident",66,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"724",0,"Afternoon",7,"male","black","resident",26,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"725",14102,"Night",11,"male","black","resident",43,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"726",657436,"Afternoon",8,"male","black","resident",47,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"727",11517,"Afternoon",12,"male","white","non-resident",47,"male","white","Multiple Victims","Single Offender","Parent","West North Central","School/Center",0,"0"
"728",610612,"Afternoon",6,"male","black","resident",29,"male","black","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"729",43827,"Afternoon",3,"male","black","resident",25,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"730",23607,"Night",1,"male","white","resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"731",447588,"Night",10,"male","white","resident",37,"female","white","Single Victim","Single Offender","Parent","South Atlantic","School/Center",0,"0"
"732",152910,"Afternoon",14,"female","black","resident",35,"female","black","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"733",65725,"Night",15,"female","white","resident",35,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"734",4460,"Night",6,"male","white","resident",28,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"735",88200,"Morning",1,"female","white","resident",30,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"736",0,"Afternoon",4,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"737",36961,"Morning",14,"female","white","resident",36,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"738",0,"Afternoon",4,"male","white","resident",30,"male","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"739",109939,"Night",3,"female","black","resident",38,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"740",707096,"Night",3,"female","black","resident",21,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"741",33772,"Night",15,"female","black","resident",31,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"742",66246,"Morning",5,"male","black","non-resident",32,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"743",8153,"Afternoon",3,"female","white","resident",52,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"744",652725,"Morning",0.5,"male","black","resident",25,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"745",62089,"Afternoon",6,"female","white","resident",29,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"746",657436,"Afternoon",14,"male","black","resident",39,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"747",134340,"Night",2,"male","black","resident",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"748",180488,"Afternoon",7,"male","black","resident",37,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"749",447588,"Afternoon",5,"male","black","resident",28,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"750",447588,"Morning",9,"female","white","resident",38,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"751",154518,"Morning",1,"female","black","resident",22,"female","black","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"752",657436,"Morning",10,"male","black","resident",47,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"753",99306,"Morning",1,"female","black","resident",20,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"754",55524,"Afternoon",3,"female","white","resident",29,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"755",224864,"Morning",4,"male","black","resident",37,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"756",9161,"Afternoon",3,"female","white","resident",23,"female","white","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"757",15867,"Night",1,"male","white","non-resident",20,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"758",18829,"Night",4,"female","white","resident",25,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"759",101632,"Morning",0.5,"male","black","non-resident",21,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"760",25090,"Morning",13,"male","white","resident",37,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"761",657436,"Afternoon",1,"male","white","resident",24,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"762",776,"Morning",3,"male","white","resident",26,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"763",0,"Morning",1,"female","white","resident",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"764",297847,"Morning",2,"female","white","resident",22,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"765",41657,"Afternoon",2,"male","white","resident",33,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"766",652725,"Afternoon",13,"female","black","resident",39,"female","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"767",42903,"Afternoon",4,"male","white","resident",27,"male","white","Multiple Victims","Multiple Offenders","Parent","Pacific","Home",0,"0"
"768",673650,"Night",0.5,"male","black","resident",23,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"1"
"769",657436,"Afternoon",4,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"770",6402,"Afternoon",8,"female","white","resident",36,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"771",652725,"Morning",12,"male","black","resident",39,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"772",16174,"Morning",3,"female","white","resident",25,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"773",44625,"Afternoon",2,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"774",652725,"Afternoon",12,"female","black","resident",39,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"775",652725,"Morning",12,"male","black","resident",35,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"776",182878,"Afternoon",5,"female","black","resident",32,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"777",16851,"Afternoon",7,"female","white","resident",47,"male","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"778",49674,"Afternoon",6,"female","white","resident",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"779",657436,"Afternoon",12,"male","black","non-resident",33,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"780",45089,"Afternoon",8,"female","white","resident",36,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"781",49860,"Afternoon",5,"male","white","non-resident",36,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"782",33972,"Night",9,"female","white","resident",48,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"783",55835,"Afternoon",10,"female","white","resident",32,"male","black","Single Victim","Single Offender","Parent","West South Central","Home",1,"0"
"784",107609,"Morning",5,"female","black","resident",23,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"785",5556,"Afternoon",5,"female","white","resident",25,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,"0"
"786",657436,"Afternoon",2,"female","black","resident",23,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"787",23127,"Afternoon",10,"female","white","non-resident",37,"female","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"788",657436,"Morning",12,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"789",8480,"Morning",4,"female","white","resident",32,"female","white","Multiple Victims","Multiple Offenders","Parent","East South Central","Home",0,"0"
"790",899447,"Afternoon",9,"female","black","resident",29,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"791",5838,"Morning",1,"female","white","non-resident",33,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"792",65799,"Afternoon",7,"male","white","resident",26,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"793",657436,"Morning",6,"female","black","resident",40,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"794",86226,"Morning",2,"male","white","non-resident",23,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,"0"
"795",673650,"Night",9,"female","white","resident",30,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"796",14526,"Night",8,"female","white","resident",32,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"797",2783,"Afternoon",6,"male","white","resident",29,"male","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"798",652725,"Afternoon",9,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"799",707096,"Night",3,"male","black","resident",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"800",657436,"Night",0.5,"male","black","resident",19,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"801",108356,"Morning",2,"male","white","resident",28,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"802",652725,"Afternoon",6,"female","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"0"
"803",673650,"Morning",4,"female","white","resident",38,"female","white","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"0"
"804",29976,"Afternoon",5,"male","white","resident",36,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"805",85083,"Afternoon",12,"female","white","resident",36,"male","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"806",599395,"Morning",3,"male","black","resident",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"1"
"807",657436,"Afternoon",9,"female","black","resident",27,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"808",89399,"Morning",5,"male","white","resident",32,"male","white","Multiple Victims","Single Offender","Parent","New England","Other",0,"0"
"809",207386,"Morning",4,"female","black","resident",24,"female","black","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,"0"
"810",673650,"Afternoon",8,"male","black","resident",38,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"811",652725,"Afternoon",0.2,"female","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"812",376880,"Early",6,"male","white","resident",34,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"813",20772,"Afternoon",2,"male","amer.indian","resident",43,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",1,"0"
"814",74840,"Night",5,"female","white","resident",23,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"1"
"815",673650,"Afternoon",6,"female","black","non-resident",30,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"816",190038,"Night",13,"male","black","resident",31,"female","black","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"817",37696,"Afternoon",14,"male","white","resident",35,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"818",152545,"Afternoon",2,"male","black","resident",26,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"819",137356,"Morning",3,"female","white","resident",30,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"820",673650,"Afternoon",5,"female","black","resident",31,"female","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"821",75704,"Morning",4,"male","white","resident",34,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"822",20474,"Afternoon",5,"female","white","resident",53,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"823",673650,"Morning",3,"male","black","resident",24,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"824",86870,"Morning",9,"male","white","resident",53,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"825",5704,"Afternoon",1,"female","white","non-resident",18,"female","white","Single Victim","Single Offender","Parent","West North Central","Other",0,"0"
"826",76216,"Morning",1,"male","black","resident",18,"female","black","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"827",539137,"Morning",1,"female","white","resident",20,"male","white","Multiple Victims","Single Offender","Parent","New England","Home",0,"0"
"828",152801,"Morning",11,"male","white","resident",37,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"829",42347,"Afternoon",13,"male","white","resident",45,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"830",5833,"Night",6,"male","white","non-resident",39,"male","white","Single Victim","Multiple Offenders","Parent","West South Central","Home",0,"1"
"831",47445,"Morning",2,"female","white","non-resident",28,"female","white","Single Victim","Multiple Offenders","Parent","Mountain","Home",0,"0"
"832",75704,"Afternoon",15,"female","white","resident",34,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"833",23501,"Afternoon",14,"female","black","resident",32,"female","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"834",211097,"Night",2,"female","black","resident",33,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"835",673650,"Afternoon",8,"male","black","resident",31,"female","black","Single Victim","Multiple Offenders","Parent","East South Central","School/Center",0,"0"
"836",230477,"Afternoon",2,"male","black","resident",26,"male","black","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,"0"
"837",6896,"Night",13,"female","white","resident",41,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Other",0,"0"
"838",109481,"Morning",3,"male","asian","resident",38,"female","asian","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"839",69496,"Night",3,"male","white","resident",39,"male","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,"0"
"840",132266,"Morning",11,"female","black","resident",26,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"841",101632,"Morning",9,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"842",20222,"Afternoon",9,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"843",0,"Afternoon",3,"female","white","resident",35,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"844",610612,"Night",4,"female","white","resident",27,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"845",137356,"Morning",12,"female","black","resident",39,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"846",114659,"Afternoon",10,"female","white","resident",34,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,"0"
"847",133590,"Night",6,"female","black","resident",30,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",1,"0"
"848",673650,"Night",2,"female","black","resident",18,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"849",713240,"Afternoon",1,"male","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"850",1055204,"Morning",8,"male","white","resident",42,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"851",610612,"Afternoon",2,"female","black","resident",23,"male","black","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"852",673650,"Morning",13,"female","black","resident",47,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"853",11781,"Afternoon",11,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"854",47263,"Morning",9,"male","white","non-resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"855",47480,"Morning",15,"male","white","resident",39,"male","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"856",899447,"Morning",6,"female","black","non-resident",26,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"857",0,"Morning",3,"male","white","resident",36,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"858",42890,"Morning",12,"female","white","resident",37,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"859",11528,"Morning",1,"male","white","resident",35,"male","black","Single Victim","Single Offender","Parent","New England","Home",1,"0"
"860",89180,"Morning",3,"female","white","resident",26,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Other",0,"0"
"861",3095,"Morning",1,"female","white","resident",21,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"862",652725,"Night",10,"male","white","resident",46,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",1,"0"
"863",15855,"Afternoon",1,"male","white","resident",18,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"1"
"864",47445,"Morning",5,"female","white","non-resident",23,"female","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"865",376880,"Night",0.5,"female","white","resident",33,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"866",105388,"Early",14,"female","white","resident",37,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"1"
"867",107300,"Night",3,"male","white","resident",28,"male","white","Single Victim","Single Offender","Parent","West South Central","Home",0,"0"
"868",673650,"Afternoon",1,"female","black","resident",19,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"869",109481,"Morning",9,"female","black","resident",37,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"870",190038,"Night",11,"male","white","resident",44,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"871",102357,"Night",3,"male","white","resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"872",0,"Afternoon",2,"female","white","resident",21,"female","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"873",132266,"Morning",4,"male","black","resident",26,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"874",59517,"Afternoon",1,"male","white","resident",22,"female","white","Multiple Victims","Multiple Offenders","Parent","Mountain","Home",0,"0"
"875",435873,"Night",10,"male","white","resident",30,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"876",26649,"Afternoon",3,"male","white","resident",27,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"877",102357,"Night",4,"female","white","resident",32,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"878",31954,"Afternoon",5,"male","white","resident",23,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"879",657436,"Morning",15,"male","black","resident",40,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"880",225627,"Morning",13,"female","white","non-resident",43,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
