"","population.group","incident.hour","completed","victim.age","victim.sex","victim.race","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","loc.group","same.race","target.harm","cluster"
"431","Pop 25-100K",17,1,13,"male","white",43,"male","white","Single Victim","Single Offender","Parent","West North Central","Shopping",0,0,10
"432","Pop >500K",16,1,8,"male","black",42,"male","black","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,0,10
"433","Pop >500K",11,1,10,"male","black",39,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,10
"434","Pop <25K",19,1,3,"male","white",31,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,1,14
"435","Pop 100-500K",15,1,2,"female","white",21,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,12
"436","Pop 100-500K",12,0,11,"female","black",36,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,8
"437","Pop 25-100K",17,1,1,"female","black",22,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"438","Pop 25-100K",17,1,5,"female","white",35,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,0,1
"439","Pop >500K",12,1,6,"female","black",43,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"440","Pop 100-500K",21,1,3,"male","black",25,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"441","Pop >500K",18,1,12,"female","black",32,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,8
"443","Pop >500K",15,1,4,"male","black",23,"female","black","Single Victim","Single Offender","Parent","East North Central","Other",0,0,12
"444","Pop <25K",18,1,3,"male","white",23,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,12
"445","Pop 25-100K",9,1,2,"female","black",54,"male","black","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Home",0,0,11
"447","Pop <25K",21,1,4,"female","black",33,"male","black","Multiple Victims","Multiple Offenders","Parent","East North Central","Road/transit",0,0,14
"448","Pop <25K",14,1,1,"male","white",25,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,6
"449","Pop <25K",19,1,6,"female","black",37,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"450","Pop 100-500K",22,1,9,"female","white",25,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,0,14
"452","Pop 25-100K",18,1,2,"female","black",20,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,12
"453","Pop 25-100K",19,1,2,"female","black",31,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"455","Pop <25K",20,1,14,"female","white",31,"male","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Shopping",0,0,8
"456","Pop 25-100K",22,0,15,"female","black",42,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,0,10
"457","Pop >500K",21,1,4,"female","black",36,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"460","Pop 100-500K",15,1,2,"male","white",26,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,0,12
"462","Pop <25K",0,1,4,"male","white",26,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,5
"465","Pop 25-100K",9,1,2,"male","white",34,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,13
"466","Pop 25-100K",12,1,1,"male","white",31,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,13
"467","Pop 100-500K",14,1,2,"male","white",28,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,13
"468","Pop 100-500K",20,1,10,"female","black",36,"female","black","Single Victim","Single Offender","Parent","Mountain","Shopping",0,0,8
"470","Pop 25-100K",20,1,7,"female","black",28,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,14
"471","Pop <25K",15,1,9,"male","white",28,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,14
"472","Pop <25K",13,1,4,"male","white",23,"female","white","Single Victim","Single Offender","Parent","East South Central","Other",0,0,6
"473","Pop 25-100K",17,1,5,"male","black",34,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"474","Pop 100-500K",17,1,9,"male","black",27,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"475","Pop 25-100K",5,1,3,"female","white",46,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,9
"476","Pop 25-100K",21,1,3,"male","white",33,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"477","Pop 100-500K",12,1,1,"female","black",25,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,6
"478","Pop 25-100K",18,1,4,"male","white",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"479","Pop 25-100K",12,1,5,"female","black",27,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",1,0,13
"480","Pop >500K",15,1,0.5,"female","black",21,"male","black","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,12
"481","Pop 100-500K",9,1,3,"female","black",40,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"482","Pop 25-100K",10,1,2,"female","white",20,"male","white","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,0,6
"483","Pop >500K",0,1,0.5,"female","black",17,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,5
"484","Pop <25K",11,1,5,"male","black",25,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,6
"485","Pop >500K",19,1,3,"male","black",26,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,12
"486","Pop 25-100K",12,1,1,"female","white",39,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"487","Pop 100-500K",17,1,9,"male","white",30,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,8
"488","Pop >500K",2,1,13,"female","black",53,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,9
"489","Pop 100-500K",12,1,3,"male","black",25,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Other",0,0,6
"490","Pop 25-100K",14,1,11,"male","white",41,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,10
"491","Pop 100-500K",19,1,2,"female","white",32,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,14
"492","Pop <25K",16,1,4,"male","white",30,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"493","Pop 25-100K",9,1,11,"female","black",34,"female","black","Single Victim","Single Offender","Parent","New England","Home",0,0,7
"494","Pop <25K",20,1,8,"male","white",46,"male","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,10
"495","Pop 100-500K",14,1,5,"male","black",31,"male","black","Single Victim","Single Offender","Parent","New England","Road/transit",0,0,13
"496","Pop 25-100K",16,1,4,"female","white",26,"male","white","Single Victim","Multiple Offenders","Parent","West North Central","Other",0,0,14
"497","Pop >500K",18,1,6,"female","black",29,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"498","Pop 100-500K",13,1,7,"female","white",35,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,1
"499","Pop 25-100K",16,1,4,"female","white",23,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,0,12
"501","Pop 25-100K",0,1,2,"male","white",21,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,5
"502","Pop >500K",10,1,4,"female","black",18,"female","black","Single Victim","Single Offender","Parent","East South Central","Other",0,0,6
"503","Pop 25-100K",16,1,4,"male","white",26,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,14
"504","Pop 25-100K",12,1,4,"male","white",24,"female","white","Single Victim","Single Offender","Parent","Mountain","Road/transit",0,0,6
"505","Pop >500K",21,1,9,"female","black",34,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,8
"507","Pop >500K",21,1,6,"female","white",33,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"508","Pop <25K",18,1,15,"female","white",38,"male","white","Single Victim","Single Offender","Parent","New England","Other",0,0,10
"509","Pop <25K",14,1,3,"female","white",24,"male","white","Single Victim","Single Offender","Parent","Mountain","Shopping",0,0,6
"510","Pop <25K",14,1,4,"male","white",30,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Road/transit",0,0,13
"511","Pop <25K",16,1,9,"female","white",35,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,8
"512","Pop 25-100K",19,1,1,"female","white",27,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,0,14
"513","Pop 25-100K",12,1,3,"male","white",28,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,0,13
"514","Pop <25K",15,1,11,"female","white",56,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Shopping",0,0,3
"515","Pop >500K",16,1,12,"male","white",32,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,0,8
"516","Pop <25K",8,1,13,"female","white",42,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,9
"517","Pop 25-100K",15,1,6,"female","white",28,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"518","Pop 100-500K",15,1,5,"female","white",25,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,12
"520","Pop >500K",18,1,6,"male","black",23,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"522","Pop 25-100K",10,1,12,"male","white",31,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,7
"523","Pop >500K",18,1,3,"female","black",29,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"524","Pop 25-100K",12,1,3,"female","white",26,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Shopping",0,0,6
"525","Pop 100-500K",14,1,8,"male","black",28,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Shopping",0,0,13
"526","Pop 25-100K",17,1,4,"female","white",20,"female","white","Single Victim","Single Offender","Parent","New England","Unknown",0,0,12
"528","Pop 25-100K",12,1,8,"male","white",46,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,0,9
"529","Pop 25-100K",23,1,1,"male","white",24,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"530","Pop 25-100K",17,0,13,"female","white",33,"male","white","Multiple Victims","Single Offender","Parent","Mountain","Road/transit",0,0,8
"531","Pop 25-100K",20,1,3,"female","white",22,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,0,12
"532","Pop >500K",15,1,1,"male","black",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"533","Pop <25K",20,1,7,"female","white",28,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,0,14
"534","Pop 100-500K",12,1,2,"female","white",24,"male","white","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Home",0,0,6
"535","Pop 25-100K",16,1,3,"male","white",23,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,12
"536","Pop 25-100K",14,1,10,"male","white",29,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,8
"537","Pop 25-100K",8,1,3,"female","black",24,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,6
"538","Pop >500K",0,1,6,"female","white",38,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,7
"539","Pop 25-100K",16,1,2,"male","white",35,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,1
"540","Pop >500K",19,1,5,"male","black",39,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"541","Pop >500K",22,1,11,"female","black",33,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,8
"542","Pop 100-500K",16,1,3,"female","black",19,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,12
"543","Pop >500K",18,1,4,"female","black",22,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"544","Pop 25-100K",17,1,3,"male","black",26,"female","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,12
"545","Pop >500K",21,1,6,"female","black",29,"female","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,14
"546","Pop 25-100K",16,1,4,"female","white",24,"female","white","Single Victim","Multiple Offenders","Parent","West North Central","Other",0,0,12
"547","Pop 25-100K",16,1,12,"male","white",43,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,10
"549","Pop <25K",22,1,1,"male","white",38,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,1,1
"550","Pop <25K",10,1,2,"male","white",24,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,6
"551","Pop 25-100K",17,1,13,"female","white",34,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"552","Pop 25-100K",16,1,11,"female","white",35,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,8
"553","Pop 100-500K",10,1,10,"female","white",36,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,7
"554","Pop >500K",19,1,2,"male","black",18,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"555","Pop 25-100K",18,1,4,"male","white",26,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"556","Pop >500K",8,1,2,"female","black",22,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,6
"557","Pop 100-500K",8,1,3,"female","white",40,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"559","Pop 25-100K",15,1,9,"female","white",31,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Unknown",0,0,8
"560","Pop 25-100K",0,1,2,"female","amer.indian",25,"female","amer.indian","Single Victim","Single Offender","Parent","West North Central","Home",0,0,5
"561","Pop 100-500K",17,1,4,"male","white",27,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"562","Pop 25-100K",18,1,8,"male","black",29,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,14
"563","Pop 25-100K",11,1,8,"male","black",34,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,13
"564","Pop 25-100K",21,1,15,"female","black",31,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,8
"565","Pop 25-100K",8,1,3,"female","white",23,"male","white","Single Victim","Single Offender","Parent","West North Central","Other",0,0,6
"566","Pop 25-100K",11,1,4,"male","white",49,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,11
"567","Pop <25K",9,1,15,"male","white",35,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,0,7
"568","Pop 25-100K",10,1,2,"female","white",28,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,13
"569","Pop 25-100K",10,1,10,"female","white",28,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,13
"570","Pop 25-100K",8,1,3,"female","black",28,"female","white","Single Victim","Single Offender","Parent","East South Central","Shopping",1,0,13
"571","Pop <25K",9,1,8,"female","white",28,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,0,13
"572","Pop 100-500K",0,1,0.5,"female","black",20,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,5
"573","Pop 100-500K",0,1,7,"female","white",33,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,7
"574","Pop 100-500K",8,1,4,"male","black",26,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,6
"576","Pop >500K",12,1,2,"male","white",24,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,6
"577","Pop <25K",19,1,11,"female","white",30,"female","white","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,8
"578","Pop 100-500K",15,1,4,"female","white",36,"female","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,1
"580","Pop >500K",18,1,9,"male","black",30,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"581","Pop 25-100K",19,1,10,"female","white",28,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"582","Pop <25K",15,1,8,"female","white",36,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"583","Pop <25K",21,1,6,"female","white",42,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"584","Pop 25-100K",10,1,1,"male","black",18,"female","black","Single Victim","Multiple Offenders","Parent","New England","Home",0,0,6
"586","Pop 25-100K",0,1,12,"female","black",38,"female","black","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",0,0,7
"588","Pop 25-100K",11,1,5,"female","asian",48,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",1,0,11
"589","Pop 25-100K",7,1,3,"male","white",24,"female","white","Multiple Victims","Multiple Offenders","Parent","Mountain","Home",0,0,6
"590","Pop 25-100K",17,1,0.5,"female","white",46,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,11
"591","Pop 25-100K",8,1,5,"male","white",38,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,7
"592","Pop <25K",15,1,1,"male","amer.indian",19,"male","amer.indian","Single Victim","Single Offender","Parent","South Atlantic","Road/transit",0,1,12
"593","Pop 100-500K",15,1,15,"female","white",34,"male","white","Single Victim","Single Offender","Parent","New England","Road/transit",0,1,8
"594","Pop 100-500K",10,1,4,"female","black",24,"female","black","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,0,6
"595","Pop <25K",17,1,1,"male","white",37,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,1
"596","Pop >500K",16,1,3,"male","black",29,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"597","Pop >500K",0,1,0.5,"female","black",17,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,5
"598","Pop >500K",20,1,3,"male","black",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"600","Pop 25-100K",15,1,2,"male","black",33,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"601","Pop 100-500K",19,1,9,"male","white",27,"male","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,14
"602","Pop 100-500K",19,1,10,"male","white",37,"female","white","Single Victim","Single Offender","Parent","South Atlantic","School",0,0,8
"603","Pop 25-100K",9,1,14,"female","white",36,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,7
"604","Pop 100-500K",0,1,4,"female","white",32,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,5
"605","Pop 25-100K",12,1,1,"female","white",22,"male","white","Single Victim","Single Offender","Parent","New England","Road/transit",0,0,6
"606","Pop 100-500K",11,1,5,"male","black",31,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,0,13
"607","Pop >500K",23,1,3,"female","black",32,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,14
"608","Pop 100-500K",21,1,3,"male","black",29,"female","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,14
"610","Pop 25-100K",15,1,5,"female","white",29,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"611","Pop 25-100K",3,1,1,"female","amer.indian",21,"male","amer.indian","Single Victim","Single Offender","Parent","West North Central","Home",0,0,5
"612","Pop >500K",13,1,9,"female","black",29,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,13
"613","Pop >500K",21,1,4,"male","white",33,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"614","Pop 25-100K",21,1,10,"male","white",68,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Road/transit",0,0,15
"616","Pop <25K",9,1,3,"male","white",23,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,6
"619","Pop 100-500K",8,1,10,"female","white",37,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,7
"620","Pop 100-500K",20,1,10,"male","white",27,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"621","Pop 25-100K",17,1,3,"male","black",30,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",1,0,14
"622","Pop 25-100K",7,1,12,"female","white",37,"female","white","Single Victim","Single Offender","Parent","Pacific","Home",0,0,7
"623","Pop 25-100K",16,0,8,"male","white",48,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,11
"625","Pop 25-100K",13,1,5,"female","white",28,"male","white","Single Victim","Multiple Offenders","Parent","East South Central","School",0,0,13
"628","Pop 25-100K",1,1,3,"female","amer.indian",19,"male","amer.indian","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,5
"629","Pop <25K",16,1,1,"male","white",21,"female","white","Single Victim","Multiple Offenders","Parent","New England","Home",0,0,12
"630","Pop 100-500K",20,1,3,"female","white",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"631","Pop <25K",18,0,3,"female","white",31,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"632","Pop 25-100K",13,1,6,"male","white",29,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,13
"634","Pop 25-100K",0,1,3,"female","white",27,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,5
"636","Pop 100-500K",14,1,2,"female","black",19,"male","black","Single Victim","Single Offender","Parent","New England","Unknown",0,0,6
"637","Pop 100-500K",16,1,5,"female","white",35,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Road/transit",0,0,1
"638","Pop 25-100K",13,1,5,"female","black",25,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,6
"640","Pop <25K",7,1,10,"female","black",36,"male","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,7
"642","Pop 100-500K",7,1,3,"male","asian",38,"female","asian","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,7
"643","Pop 25-100K",12,1,5,"male","black",27,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",1,0,13
"644","Pop 100-500K",12,1,2,"female","black",39,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,1
"645","Pop 100-500K",9,1,9,"female","white",31,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,13
"647","Pop 100-500K",9,1,8,"female","white",35,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,7
"648","Pop <25K",13,1,3,"male","asian",33,"female","white","Single Victim","Single Offender","Parent","Pacific","Unknown",1,0,13
"649","Pop <25K",11,1,6,"male","white",29,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,1,13
"651","Pop >500K",19,1,4,"male","black",26,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,14
"653","Pop 25-100K",0,1,4,"male","white",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,5
"654","Pop 100-500K",22,1,7,"female","white",43,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,10
"657","Pop 25-100K",11,1,10,"male","black",32,"female","black","Single Victim","Single Offender","Parent","New England","Home",0,0,13
"658","Pop 25-100K",15,1,3,"female","white",29,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"659","Pop 25-100K",23,1,10,"female","white",44,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,10
"660","Pop 100-500K",9,1,4,"female","black",41,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"661","Pop 100-500K",12,1,2,"male","black",40,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,1
"662","Pop <25K",13,1,4,"male","white",26,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,6
"663","Pop 100-500K",0,1,3,"female","black",38,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,7
"664","Pop 100-500K",18,1,7,"male","white",24,"female","white","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,12
"667","Pop <25K",18,1,0.5,"female","white",34,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,14
"668","Pop 25-100K",20,1,13,"male","white",31,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,8
"669","Pop 25-100K",19,1,14,"male","white",37,"male","white","Single Victim","Single Offender","Parent","East North Central","School",0,0,8
"670","Pop 25-100K",11,1,5,"male","black",28,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,13
"671","Pop 100-500K",16,1,2,"male","black",19,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,12
"672","Pop 100-500K",0,1,15,"male","white",35,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,0,7
"673","Pop >500K",17,1,0.5,"male","black",30,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,14
"674","Pop 25-100K",15,1,1,"female","white",19,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,12
"675","Pop <25K",12,1,3,"female","white",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,13
"676","Pop 100-500K",17,1,11,"male","black",34,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,1,8
"677","Pop 25-100K",0,1,5,"male","white",37,"male","asian","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",1,0,7
"678","Pop >500K",23,1,7,"male","white",43,"male","white","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Home",0,0,10
"679","Pop 100-500K",23,1,1,"male","white",17,"male","white","Single Victim","Multiple Offenders","Parent","Pacific","Road/transit",0,0,12
"680","Pop 100-500K",16,1,4,"male","black",24,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,12
"682","Pop 100-500K",9,1,7,"male","white",28,"female","white","Single Victim","Single Offender","Parent","East South Central","Unknown",0,0,13
"683","Pop 100-500K",1,1,1,"female","white",29,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,0,5
"684","Pop <25K",17,1,15,"male","white",34,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,8
"685","Pop <25K",8,1,6,"female","white",24,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,6
"686","Pop 100-500K",4,1,4,"male","white",24,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Shopping",0,0,5
"688","Pop 100-500K",9,1,2,"male","white",42,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"690","Pop >500K",10,1,11,"female","black",33,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,7
"691","Pop 100-500K",16,1,10,"female","white",52,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,3
"692","Pop <25K",12,1,11,"male","white",56,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,1,3
"693","Pop >500K",17,1,4,"male","white",24,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"694","Pop 100-500K",20,1,10,"female","black",44,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,10
"695","Pop >500K",12,1,8,"male","black",36,"male","black","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,1
"696","Pop >500K",18,1,7,"female","black",49,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,11
"697","Pop 25-100K",9,1,2,"male","black",22,"female","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",1,0,6
"698","Pop 25-100K",15,1,10,"male","amer.indian",32,"female","amer.indian","Single Victim","Single Offender","Parent","West North Central","Other",0,0,8
"699","Pop 25-100K",20,1,8,"female","white",30,"male","white","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,14
"701","Pop <25K",18,0,0.5,"male","white",22,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,12
