"","originating.agency","incident.number","incident.date","date.agency.went.NIBRS","city","current.population","UCR.county","FIPS.county","incident.hour","UCR.code","completed","victim.age","victim.sex","victim.race","victim.ethnicity","victim.residency","offender.age","offender.sex","offender.race","target.harm","target.arrest","multiple.victims","multiple.offenders","type","victimage.group","victim.tenderage","offenderage.group","population.group","relationship.group","hour.group","NA","same.race","state.name","division.name","region.name","location.name","loc.group","weapon.name","injury.name","Victim.in.relation","FIPS"
"1753","TN0570100"," N0IRO3MGF N",20090629,19990701,"JACKSON                       ",63530,57,113,18,100,1,1,"female","white",0,"resident",28,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41113"
"1754","MI4620200","1A0HQ-727X0D",20111015,19980101,"ADRIAN                        ",21117,46,91,12,100,1,4,"female","white",NA,"non-resident",24,"female","white",0,29.4,2,1,"MultVic","0-5","Yes","20-30","Pop <25K","Parent","Morning",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21091"
"1755","MA0145400","5W--F2I5US8M",20090719,19950101,"WEBSTER                       ",16861,14,27,9,100,1,2,"female","black",0,"resident",35,"female","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop <25K","Parent","Morning",0,0,"MA","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","20027"
"1756","NB0770100","0N1J0K7 872O",20081119,19980101,"BELLEVUE                      ",48894,77,153,0,100,1,15,"female","white",0,"resident",38,"male","white",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",0,0,"NE","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","26153"
"1757","OK0510100","-K9Z46L8G0W5",20090405,20080801,"MUSKOGEE                      ",40197,51,101,10,100,1,2,"male","white",NA,"resident",28,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"OK","West South Central","South","Residence/Home","Home","None/Other","None","Child","35101"
"1758","TN0630100","9U01A3JQ5F3T",20111002,19971201,"CLARKSVILLE                   ",134128,63,125,18,100,1,1,"female","white",0,"resident",27,"female","white",0,NA,2,1,"MultVic","0-5","Yes","20-30","Pop 100-500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41125"
"1759","UT0290100","7S-DY406PU72",20121001,20010801,"OGDEN                         ",85083,29,57,20,100,1,8,"male","white",0,NA,43,"male","white",0,NA,1,1,"SingleVO","6-10","Yes","40-50","Pop 25-100K","Parent","Night",0,0,"UT","Mountain","West","Restaurant","Shopping","None/Other","None","Child","43057"
"1760","MI8234900","181J0OFO866X",20120815,20050101,"DETROIT                       ",707096,82,163,14,100,1,12,"female","black",NA,"resident",55,"female","black",0,NA,1,1,"SingleVO","11-15","Yes",">50","Pop >500K","Parent","Afternoon",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"1761","TNMPD0000","181J0-OLJLHH",20121225,20000801,"MEMPHIS                       ",657436,79,157,9,100,1,11,"female","black",NA,"resident",38,"male","black",0,NA,1,1,"SingleVO","11-15","Yes","30-40","Pop >500K","Parent","Morning",0,0,"TN","East South Central","South","Restaurant","Shopping","None/Other","None","Child","41157"
"1762","TN0360000","M6101-S873 I",20101203,19990801,"HARDIN                        ",17081,36,71,13,100,1,2,"female","white",0,"resident",21,"female","white",0,0,1,2,"MultOff","0-5","Yes","20-30","Pop <25K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41071"
"1763","TN0630100","XS0NJ6KBB962",20110902,19971201,"CLARKSVILLE                   ",134128,63,125,18,100,1,2,"male","white",0,NA,25,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 100-500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41125"
"1764","LA0080100"," N0AROML1F N",20080312,20020101,"BOSSIER CITY                  ",62500,8,15,6,100,1,1,"male","white",0,"resident",21,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Early",0,0,"LA","West South Central","South","Residence/Home","Home","None/Other","None","Child","17015"
"1765","MI4620200","C900W5HP5Z3Z",20100601,19980101,"ADRIAN                        ",20997,46,91,23,100,1,8,"female","white",0,"non-resident",37,"male","white",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop <25K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21091"
"1766","TNMPD0000","M50M3TD2XPMF",20080321,20000801,"MEMPHIS                       ",672046,79,157,14,100,1,8,"male","black",0,"resident",27,"female","black",0,NA,1,1,"SingleVO","6-10","Yes","20-30","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home",NA,"None","Child","41157"
"1767","KYKSP0600","622TD6SBPU72",20100630,20090101,"SP: DRY RIDGE                 ",0,NA,NA,16,100,1,2,"male","white",0,"non-resident",27,"female","white",0,2.7,1,1,"SingleVO","0-5","Yes","20-30",NA,"Parent","Afternoon",0,0,"KY","East South Central","South","Highway/Road/Alley","Road/transit","None/Other","None","Child","16 NA"
"1768","TNMPD0000","BQ0M3933WJMF",20100317,20000801,"MEMPHIS                       ",673650,79,157,16,100,1,3,"male","black",0,"resident",29,"male","black",0,NA,2,1,"MultVic","0-5","Yes","20-30","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"1769","CO0210100","103HYKFCTD1A",20100602,19970101,"COLORADO SPRINGS              ",397886,21,41,0,100,1,3,"male","white",1,"resident",28,"male","white",0,16,1,1,"SingleVO","0-5","Yes","20-30","Pop 100-500K","Parent","Night",0,0,"CO","Mountain","West","Highway/Road/Alley","Road/transit","Personal Weapons (hands, feet, teeth, etc.)","None","Child","05041"
"1770","TNMPD0000","ME0Q39F3N MF",20090805,20000801,"MEMPHIS                       ",667421,79,157,13,100,1,1,"male","black",0,"resident",19,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","<20","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home",NA,"None","Child","41157"
"1771","KS0610200","323BOYMQ-F39",20120525,20000101,"OSAWATOMIE                    ",4460,61,121,20,100,1,6,"male","white",0,"resident",28,"male","white",0,NA,1,1,"SingleVO","6-10","Yes","20-30","Pop <25K","Parent","Night",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15121"
"1772","KS0160100","1W2MW0SCTD1A",20100716,20000101,"BURLINGTON                    ",2685,16,31,18,100,1,7,"male","white",NA,"non-resident",31,"male","white",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop <25K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Child","15031"
"1773","KS0870300","8TCB0OQDG 8N",20120904,20001101,"WICHITA                       ",386409,87,173,5,100,1,1,"male","white",1,"resident",31,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop 100-500K","Parent","Early",1,1,"KS","West North Central","Northcentral","Government/Public Building","Other","None/Other","None","Child","15173"
"1774","VA1030000","8T0BIF5LF2 N",20120528,19990101,"CHESAPEAKE                    ",227531,NA,NA,18,100,1,13,"male","white",0,"resident",39,"male","white",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 100-500K","Parent","Afternoon",0,0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","45 NA"
"1775","KS0180100","2W1H06ONTD1A",20100206,20000101,"ARKANSAS CITY                 ",10960,18,35,8,100,1,1,"female","white",NA,NA,25,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop <25K","Parent","Morning",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Child","15035"
"1776","SC0100800","2W1J0UOPUX1A",20120120,19910101,"NORTH CHARLESTON              ",80796,10,19,10,100,0,1,"female","white",1,"resident",25,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"SC","South Atlantic","South","Restaurant","Shopping","None/Other","None","Child","39019"
"1777","SC0120100","3A1B1VP-6X I",20110904,19910101,"CHESTER                       ",5672,12,23,8,100,1,1,"female","white",0,"non-resident",43,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","40-50","Pop <25K","Parent","Morning",1,1,"SC","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","39023"
"1778","VA0630000","VX0DLBAEMV62",20080814,19981101,"NEW KENT                      ",17554,64,127,2,100,1,6,"female","white",0,"non-resident",27,"male","white",0,0,2,1,"MultVic","6-10","Yes","20-30","Pop <25K","Parent","Early",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","45127"
"1779","TN0770000","ZL-F ADSKOZL",20110718,19970201,"SEQUATCHIE                    ",9381,77,153,20,100,1,10,"female","white",0,"non-resident",41,"female","white",0,0.7,1,1,"SingleVO","6-10","Yes","40-50","Pop <25K","Parent","Night",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41153"
"1780","ND0180100","8N0 KHZLDZ8B",20100609,19910101,"GRAND FORKS                   ",53382,18,35,8,100,1,3,"female","amer.indian",0,"resident",22,"female","amer.indian",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"ND","West North Central","Northcentral","Government/Public Building","Other","None/Other","None","Child","33035"
"1781","TN0840000","8T0DRMZD1A N",20120630,19991101,"TIPTON                        ",33772,84,167,21,100,1,15,"female","black",0,"resident",31,"female","black",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41167"
"1782","KY1140100","5M5BFO761AEM",20120629,20081001,"BOWLING GREEN                 ",59043,114,227,17,100,1,0.2,"female","white",0,"resident",22,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Afternoon",0,0,"KY","East South Central","South","Other/unknown","Unknown","None/Other","None","Child","16227"
"1783","MI3351900","7S06Y1RVMC6A",20120701,20040101,"LANSING                       ",109939,33,65,10,100,1,10,"female","black",NA,NA,34,"male","black",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop 100-500K","Parent","Morning",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21065"
"1784","KS0500100","3F1038BRVSCT",20090621,20000101,"PARSONS                       ",11020,50,99,12,100,1,11,"female",NA,NA,NA,33,"male","white",0,NA,1,1,"SingleVO","11-15","Yes","30-40","Pop <25K","Parent","Morning",NA,NA,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15099"
"1785","VA0340000","8I0BRMRR72 N",20100219,19961101,"FREDERICK                     ",74302,35,69,21,100,1,14,"male","white",0,"resident",35,"female","black",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",1,1,"VA","South Atlantic","South","Highway/Road/Alley","Road/transit","None/Other","None","Child","45069"
"1786","SC0180000","8N0BYA5H72 N",20110617,19910101,"DORCHESTER                    ",74860,18,35,9,100,1,2,"female","white",0,"resident",31,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop 25-100K","Parent","Morning",0,0,"SC","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","39035"
"1787","TN0790000","SV031AEBAVS0",20090802,20000801,"SHELBY                        ",103719,79,157,18,100,1,17,"female","white",0,"resident",48,"male","white",0,NA,1,1,"SingleVO","11-15","No","40-50","Pop 100-500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41157"
"1788","MI6367300","1A1M0U7292 D",20110408,19970101,"PONTIAC                       ",59470,63,125,20,100,1,8,"female","white",1,"resident",30,"male","white",0,NA,1,1,"SingleVO","6-10","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"MI","East North Central","Northcentral","Highway/Road/Alley","Road/transit",NA,"None","Child","21125"
"1789","TN0940000","5F1U-7WNBRVS",20120120,19990101,"WILLIAMSON                    ",49860,94,187,19,100,1,4,"female","white",0,"resident",25,"male","white",0,0.3,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41187"
"1790","TN0600200","UG0N3HPUHU9N",20081015,19971001,"MOUNT PLEASANT                ",4401,60,119,8,100,1,11,"male","black",0,"resident",32,"female","black",0,0,2,1,"MultVic","11-15","Yes","30-40","Pop <25K","Parent","Morning",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41119"
"1791","KS0460900","720FI4JO6U7S",20091015,20000101,"SHAWNEE                       ",62508,46,91,11,100,1,7,"male","black",0,"resident",32,"male","black",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop 25-100K","Parent","Morning",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15091"
"1792","SD0510100","2W1J0UOPJN88",20120425,20060101,"RAPID CITY                    ",69979,52,103,10,100,1,2,"male","amer.indian",NA,"resident",24,"male","amer.indian",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"SD","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","40103"
"1793","WV0200200","T92JI2SZXF39",20120824,19981001,"CHARLESTON                    ",51178,20,39,0,100,1,11,"male","white",0,"resident",30,"female","white",0,NA,1,1,"SingleVO","11-15","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"WV","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","47039"
"1794","KS0720200","8N04KIPU72 N",20110304,20000101,"MINNEAPOLIS                   ",2045,72,143,4,100,1,2,"female","white",0,"resident",28,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop <25K","Parent","Early",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Child","15143"
"1795","SD0520000","8N-4KE3 728N",20110327,19990401,"PERKINS                       ",1776,53,105,0,100,1,15,"female","white",0,"resident",61,"male","white",0,7.3,2,1,"MultVic","11-15","No",">50","Pop <25K","Parent","Night",0,0,"SD","West North Central","Northcentral","Other/unknown","Unknown","None/Other","None","Child","40105"
"1796","TNMPD0000","M50K3TW5NOMF",20080627,20000801,"MEMPHIS                       ",672046,79,157,14,100,1,2,"male","black",0,"non-resident",23,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Other/unknown","Unknown",NA,"None","Child","41157"
"1797","TNMPD0000","0N1M0UKVS2HH",20081114,20000801,"MEMPHIS                       ",672046,79,157,13,100,1,3,"female","black",0,"resident",35,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Other/unknown","Unknown",NA,"None","Child","41157"
"1798","TNMPD0000","BQ0Q3TJ98JMF",20100926,20000801,"MEMPHIS                       ",673650,79,157,12,100,1,0.5,"male","black",0,"resident",20,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","<20","Pop >500K","Parent","Morning",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"1799","TN0900100","HH8U7PLC5AEM",20080303,19970601,"JOHNSON CITY                  ",60083,90,179,8,100,1,6,"female","black",0,"resident",24,"female","black",0,NA,1,1,"SingleVO","6-10","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"TN","East South Central","South","Residence/Home","Home",NA,"None","Child","41179"
"1800","MA0010800","4Y-PUO24Z-X5",20080718,20010101,"HARWICH                       ",12381,1,1,7,100,1,11,"male","white",0,"resident",33,"male","white",0,NA,1,1,"SingleVO","11-15","Yes","30-40","Pop <25K","Parent","Morning",0,0,"MA","New England","Northeast","Residence/Home","Home","None/Other","None","Child","20001"
"1801","KS0280100","W51C4628B0W5",20110524,20000101,"GARDEN CITY                   ",26827,28,55,14,100,1,10,"male","white",1,"resident",29,"female","white",0,0,2,1,"MultVic","6-10","Yes","20-30","Pop 25-100K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","15055"
"1802","ID0100000","3A1M1-QPTX I",20100830,19930101,"BONNEVILLE                    ",47445,10,19,11,100,1,2,"female","white",0,"non-resident",28,"female","white",0,NA,1,2,"MultOff","0-5","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"ID","Mountain","West","Residence/Home","Home","None/Other","None","Child","11019"
"1803","NH0091800","VS-T79G-60VS",20111213,20030101,"NEW DURHAM                    ",2641,9,17,16,100,1,9,"male","white",0,"resident",44,"male","white",0,NA,2,1,"MultVic","6-10","Yes","40-50","Pop <25K","Parent","Afternoon",0,0,"NH","New England","Northeast","Residence/Home","Home",NA,"None","Child","28017"
"1804","TN0830400"," X04EORMN2 N",20090507,19990601,"HENDERSONVILLE                ",48513,83,165,10,100,0,0.5,"male","white",0,"resident",20,"male","white",0,0,1,2,"MultOff","0-5","Yes","<20","Pop 25-100K","Parent","Morning",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41165"
"1805","KS0870300"," DCBYFBL- 8N",20081006,20001101,"WICHITA                       ",362602,87,173,4,100,1,13,"female","white",0,"resident",35,"female","white",0,9.6,1,1,"SingleVO","11-15","No","30-40","Pop 100-500K","Parent","Early",0,0,"KS","West North Central","Northcentral","Government/Public Building","Other","None/Other","None","Child","15173"
"1806","MI2539800","7U02J4KOPL7I",20090107,20000101,"FLINT                         ",111657,25,49,11,100,1,0.5,"female","black",NA,NA,29,"female","black",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 100-500K","Parent","Morning",0,0,"MI","East North Central","Northcentral","Government/Public Building","Other","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21049"
"1807","VA0660000","O202U4KICU73",20090811,19990401,"NORTHUMBERLAND                ",12991,67,133,13,100,1,10,"female","white",0,"resident",42,"female","white",0,NA,1,1,"SingleVO","6-10","Yes","40-50","Pop <25K","Parent","Afternoon",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","45133"
"1808","KS0870300","8TCBAVSMG 8N",20120324,20001101,"WICHITA                       ",386409,87,173,9,100,1,17,"male","white",0,"resident",34,"female","white",0,NA,2,1,"MultVic","11-15","No","30-40","Pop 100-500K","Parent","Morning",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15173"
"1809","VT0040100","2W04PU7Z9C0N",20080919,19990101,"BURLINGTON                    ",38370,4,7,15,100,1,16,"female","white",NA,NA,54,"male","white",0,0.3,1,1,"SingleVO","11-15","No",">50","Pop 25-100K","Parent","Afternoon",0,0,"VT","New England","Northeast","Government/Public Building","Other","None/Other","None","Child","44007"
"1810","TNMPD0000","181H0UKUI6HH",20121010,20000801,"MEMPHIS                       ",657436,79,157,14,100,1,5,"male","black",0,"non-resident",35,"male","black",0,NA,2,1,"MultVic","0-5","Yes","30-40","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"1811","TN0260600","5F1U-2XEN4VS",20120511,19981001,"HUNTLAND                      ",877,26,51,16,100,1,16,"male","white",0,"resident",45,"male","white",0,NA,1,1,"SingleVO","11-15","No","40-50","Pop <25K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41051"
"1812","MI6306300","9G0  OZL7V8B",20110811,19980101,"SP: OAKLAND COUNTY            ",0,63,125,12,100,1,4,"female","white",NA,NA,28,"female","white",0,11,1,1,"SingleVO","0-5","Yes","20-30",NA,"Parent","Morning",0,0,"MI","East North Central","Northcentral","Government/Public Building","Other","None/Other","None","Child","21125"
"1813","KS0400100","WK2PM439G0W5",20100708,20000101,"NEWTON                        ",18637,40,79,16,100,1,4,"male","white",0,"resident",30,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop <25K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Child","15079"
"1814","MA0071800","VF-UL4W-QTVS",20100624,19960501,"SPRINGFIELD                   ",154314,7,13,14,100,1,5,"male","black",NA,"resident",31,"male","black",0,0,1,1,"SingleVO","0-5","Yes","30-40","Pop 100-500K","Parent","Afternoon",0,0,"MA","New England","Northeast","Highway/Road/Alley","Road/transit","None/Other","None","Child","20013"
"1815","UT0290100","18-JQ5P0TD1A",20120317,20010801,"OGDEN                         ",85083,29,57,11,100,1,3,"female",NA,0,NA,22,"female","white",0,NA,3,1,"MultVic","0-5","Yes","20-30","Pop 25-100K","Parent","Morning",NA,NA,"UT","Mountain","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","43057"
"1816","CT00A5900","2W04PU729G0W",20080912,20050301,"GROTON TOWN                   ",32617,6,11,23,100,1,16,"female","white",0,"resident",53,"male","white",1,0.1,1,1,"SingleVO","11-15","No",">50","Pop 25-100K","Parent","Night",0,0,"CT","New England","Northeast","Parking Lot/Garage","Shopping","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Child","06011"
"1817","KS0230100","2L-0W2H2OF39",20110101,20000101,"LAWRENCE                      ",88200,23,45,18,100,1,7,"male","white",0,"resident",41,"female","white",0,NA,1,1,"SingleVO","6-10","Yes","40-50","Pop 25-100K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15045"
"1818","WVWSP5200","N23J8KY6VF39",20100311,19980101,"SP: WAYNE                     ",0,50,99,13,100,1,1,"male","white",0,"resident",23,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30",NA,"Parent","Afternoon",0,0,"WV","South Atlantic","South","Residence/Home","Home","None/Other","None","Child","47099"
"1819","MI6367300","260 4KOZBV2 ",20080828,19970101,"PONTIAC                       ",66366,63,125,20,100,1,16,"male","asian",NA,"resident",33,"female","asian",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21125"
"1820","TN0940100","CI0ARVMMF- N",20080810,19990901,"FRANKLIN                      ",58997,94,187,18,100,1,6,"female","white",0,"resident",47,"female","white",0,2.1,2,1,"MultVic","6-10","Yes","40-50","Pop 25-100K","Parent","Afternoon",0,0,"TN","East South Central","South","Department/Discount Store","Shopping","Personal Weapons (hands, feet, teeth, etc.)","None","Child","41187"
"1821","MI2539800","260 4KOCOS2Y",20080725,20000101,"FLINT                         ",113462,25,49,21,100,1,0.1,"male","black",NA,NA,36,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop 100-500K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21049"
"1822","MI2539800","260 4KOZU 2Y",20080108,20000101,"FLINT                         ",113462,25,49,7,100,1,2,"female","black",0,"resident",37,"female","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop 100-500K","Parent","Morning",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21049"
"1823","MI2539800","4Y0RL6XTI 4I",20081224,20000101,"FLINT                         ",113462,25,49,22,100,1,13,"male","black",NA,"non-resident",37,"male","black",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 100-500K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","Apparent Minor Injury","Child","21049"
"1824","KS0190100","RN0BRESQV2 N",20100510,20000101,"PITTSBURG                     ",19817,19,37,16,100,1,0.5,"female","white",0,"resident",24,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop <25K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15037"
"1825","MI3351900","1D1B1EFH7J18",20091113,20040101,"LANSING                       ",108653,33,65,19,100,1,0.5,"male","white",NA,"resident",30,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 100-500K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21065"
"1826","UT0290100","T7-K5M49SCTD",20120521,20010801,"OGDEN                         ",85083,29,57,16,100,1,3,"female","white",0,NA,21,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Afternoon",0,0,"UT","Mountain","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","43057"
"1827","MI8234900","4Y0RLRXTIR4Y",20080705,20050101,"DETROIT                       ",905783,82,163,17,100,1,14,"female","black",0,"resident",47,"female","black",0,NA,1,1,"SingleVO","11-15","No","40-50","Pop >500K","Parent","Afternoon",0,0,"MI","East North Central","Northcentral","Highway/Road/Alley","Road/transit","None/Other","None","Child","21163"
"1828","MA0146000","P909W5HPKX36",20090108,19950101,"WORCESTER                     ",178474,14,27,16,100,1,12,"female","white",1,NA,41,"male","white",1,0,3,1,"MultVic","11-15","Yes","40-50","Pop 100-500K","Parent","Afternoon",0,0,"MA","New England","Northeast","Residence/Home","Home","None/Other","Apparent Minor Injury","Child","20027"
"1829","MA0141300","KE-VSRIRJ4KO",20120312,20050101,"DUDLEY                        ",11528,14,27,9,100,1,1,"male","white",1,"resident",35,"male","black",0,0,1,1,"SingleVO","0-5","Yes","30-40","Pop <25K","Parent","Morning",1,1,"MA","New England","Northeast","Residence/Home","Home","None/Other","None","Child","20027"
"1830","VA0290100","P9123N4PU7NT",20121122,20000101,"FAIRFAX COUNTY PD             ",1072723,30,59,22,100,1,11,"female","black",0,"resident",33,"female","black",0,0,2,1,"MultVic","11-15","Yes","30-40","Pop >500K","Parent","Night",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","45059"
"1831","MI1101100","CU0595HP6F3I",20120720,19980101,"SP: BERRIEN COUNTY            ",0,11,21,20,100,1,11,"female","white",NA,NA,39,"male","white",0,5.6,2,1,"MultVic","11-15","Yes","30-40",NA,"Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21021"
"1832","MI2138200","F30NJ4KOZB7-",20110212,20070101,"ESCANABA                      ",12606,21,41,19,100,1,1,"female","white",NA,"resident",20,"male","white",0,NA,1,2,"MultOff","0-5","Yes","<20","Pop <25K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21041"
"1833","VA0290100","2W1J0HH2LY A",20120402,20000101,"FAIRFAX COUNTY PD             ",1072723,30,59,20,100,1,0.5,"male","white",0,"resident",40,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop >500K","Parent","Night",0,0,"VA","South Atlantic","South","Government/Public Building","Other","None/Other","None","Child","45059"
"1834","MA0092600","2W1H0UFLS4B5",20101021,20070501,"LOWELL                        ",103065,9,17,8,100,1,1,"female","black",NA,"resident",21,"male","black",0,0,1,1,"SingleVO","0-5","Yes","20-30","Pop 100-500K","Parent","Morning",0,0,"MA","New England","Northeast","Residence/Home","Home",NA,"None","Child","20017"
"1835","KS0270100","LI0ARE5U72 N",20080211,20000101,"ELLSWORTH                     ",2871,27,53,17,100,1,14,"male","white",0,"resident",38,"male","white",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop <25K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15053"
